Date,Open,High,Low,Close,AdjClose,Volume
2018/4/27,196.929993,197.550003,195.830002,197.229996,197.229996,2558900
2018/4/30,197.389999,198.100006,193.619995,193.729996,193.729996,4247500
2018/5/1,193.759995,195.300003,192.75,195.110001,195.110001,3235000
2018/5/2,195.070007,195.070007,192.979996,193.309998,193.309998,3885500
2018/5/3,192.809998,192.990005,189.800003,191.610001,191.610001,5059400
2018/5/4,192.039993,196.240005,190.190002,195.639999,195.639999,4919100
2018/5/7,196,197.820007,195.759995,197.059998,197.059998,3692100
2018/5/8,197.399994,197.399994,194.699997,196.240005,196.240005,4189600
2018/5/9,197,200.050003,196.279999,199.869995,199.869995,3290600
2018/5/10,200.429993,201.289993,198.919998,201.199997,201.199997,2957300
2018/5/11,200.619995,202.410004,198.899994,199.300003,199.300003,3917700
2018/5/14,200,200.649994,198.660004,199.179993,199.179993,3264600
2018/5/15,198.789993,198.929993,196.179993,197.360001,197.360001,3380000
2018/5/16,196.860001,198.380005,196.399994,197.830002,197.830002,2927400
2018/5/17,197.740005,197.850006,196.619995,197.490005,197.490005,2604200
2018/5/18,197.520004,197.639999,195.770004,196.059998,196.059998,3137100
2018/5/21,197.770004,198.630005,197.009995,197.910004,197.910004,3005500
2018/5/22,198.020004,198.889999,197.179993,198.130005,198.130005,3162000
2018/5/23,197.399994,197.710007,194.949997,195.949997,195.949997,4036300
2018/5/24,196.059998,196.259995,193.919998,194.830002,194.830002,3206200
2018/5/25,193.889999,194.75,193.210007,194.149994,194.149994,3031000
2018/5/29,192.899994,193.110001,188.619995,189.869995,189.869995,8912100
2018/5/30,191.899994,194.899994,191.330002,194.100006,194.100006,4307600
2018/5/31,194.289993,194.289993,191.419998,191.529999,191.529999,5787500
2018/6/1,192.899994,193.380005,191.589996,192.229996,192.229996,3817800
2018/6/4,193,193.410004,191.25,191.300003,191.300003,4444500
2018/6/5,191.369995,191.399994,190.139999,190.770004,190.770004,4325000
2018/6/6,191.690002,194,191.570007,193.990005,193.990005,4017500
2018/6/7,194.660004,195.679993,193.75,195.570007,195.570007,4340300
2018/6/8,195.339996,196.399994,194.270004,196.009995,196.009995,3757800
2018/6/11,196.300003,196.740005,195.190002,195.330002,195.330002,3465600
2018/6/12,195.970001,195.990005,194.710007,195.270004,195.270004,3047000
2018/6/13,195.130005,196,194.259995,194.550003,194.550003,3704900
2018/6/14,194.919998,195,192.039993,192.5,192.5,4947200
2018/6/15,192.279999,192.5,190.520004,191.759995,191.759995,7341000
2018/6/18,190.639999,191.360001,189.910004,191.110001,191.110001,3773800
2018/6/19,190.050003,191.179993,189.350006,190.350006,190.350006,4035300
2018/6/20,190.470001,190.889999,189.199997,189.5,189.5,5234200
2018/6/21,189.050003,189.839996,187.970001,188.860001,188.860001,4977900
2018/6/22,190,190.479996,188.660004,188.910004,188.910004,5268000
2018/6/25,188.630005,188.830002,185.179993,186.729996,186.729996,6062400
2018/6/26,186.520004,187.619995,185.779999,186.440002,186.440002,4324600
2018/6/27,186.5,187.889999,184.75,184.910004,184.910004,4451600
2018/6/28,185.429993,187.940002,185.160004,187.089996,187.089996,4218500
2018/6/29,188.460007,189.279999,186.289993,186.649994,186.649994,5185700
2018/7/2,186.089996,188.100006,185.970001,187.830002,187.830002,3521000
2018/7/3,188.460007,188.729996,185.720001,186.020004,186.020004,2031200
2018/7/5,187.070007,187.630005,186.229996,187.5,187.5,3310200
2018/7/6,187.5,188.690002,186.520004,187.559998,187.559998,2818800
2018/7/9,188.110001,189.820007,187.820007,189.639999,189.639999,3504700
2018/7/10,189.75,190.619995,189.149994,189.899994,189.899994,2685500
2018/7/11,188.729996,190.639999,188.559998,189.910004,189.910004,3343100
2018/7/12,190.899994,190.990005,188.910004,189.960007,189.960007,3040600
2018/7/13,189.770004,191.289993,189.130005,190.960007,190.960007,2693700
2018/7/16,190.699997,192.229996,190.699997,192,192,2626700
2018/7/17,192,192.190002,190.270004,190.410004,190.410004,3725000
2018/7/18,195.5,201.399994,195.350006,200.440002,200.440002,10469600
2018/7/19,200.350006,200.960007,197.300003,197.490005,197.490005,4670800
2018/7/20,197,197.660004,196.460007,196.779999,196.779999,4073900
2018/7/23,196.25,198.869995,196.199997,197.850006,197.850006,3587600
2018/7/24,198.449997,199.960007,198.220001,198.460007,198.460007,3346600
2018/7/25,198.210007,198.210007,196.809998,197.610001,197.610001,3743100
2018/7/26,198.270004,198.990005,197.279999,197.460007,197.460007,3766100
2018/7/27,198,198.899994,197.179993,197.949997,197.949997,3939400
2018/7/30,197.800003,199.910004,197.800003,199.089996,199.089996,3988300
2018/7/31,199,199.539993,197.059998,197.869995,197.869995,4911700
2018/8/1,198.800003,199.699997,197.320007,197.850006,197.850006,4004600
2018/8/2,197.199997,198.759995,196.770004,198.059998,198.059998,3269900
2018/8/3,198.5,200.419998,198.119995,200.240005,200.240005,5028000
2018/8/6,204.889999,208.110001,204.619995,206.059998,206.059998,6673100
2018/8/7,207.5,209.940002,207.149994,208.720001,208.720001,6160100
2018/8/8,208.809998,209.710007,208.429993,208.940002,208.940002,3869000
2018/8/9,209,209.649994,208.720001,209.100006,209.100006,4685700
2018/8/10,207.300003,207.770004,205.589996,206.630005,206.630005,4383100
2018/8/13,206.630005,207.009995,205.039993,205.169998,205.169998,3837900
2018/8/14,205.300003,206.479996,204.899994,205.830002,205.830002,2774500
2018/8/15,205.009995,205.490005,203.570007,204.5,204.5,3547200
2018/8/16,205.389999,207.619995,204.600006,207.559998,207.559998,3576500
2018/8/17,207.570007,208.470001,206.919998,208.139999,208.139999,2749900
2018/8/20,208.429993,209.539993,207.830002,208.460007,208.460007,2527300
2018/8/21,208.809998,209.350006,208.100006,208.490005,208.490005,2665300
2018/8/22,207.630005,207.970001,206.960007,207.330002,207.330002,2454600
2018/8/23,207.580002,207.789993,206.660004,207.240005,207.240005,2363000
2018/8/24,207.75,208.160004,207.330002,207.979996,207.979996,2415700
2018/8/27,208.559998,210.75,208.520004,210.509995,210.509995,3166700
